partitionID,className,classID
9,MockDealersRepositoryTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/repositories/mock/test/MockDealersRepositoryTest.java
9,MockCatalogItemsRepositoryTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/repositories/mock/test/MockCatalogItemsRepositoryTest.java
10,CreateOrderProcessTask.java,src/Backend/IntegrationService/src/main/java/integration/scheduled/CreateOrderProcessTask.java
10,QuoteItemInfo.java,src/Backend/IntegrationService/src/main/java/integration/models/mrp/QuoteItemInfo.java
11,ShipmentRecord.java,src/Backend/IntegrationService/src/main/java/integration/models/mrp/ShipmentRecord.java
11,TestPath.java,src/Backend/OrderService/src/main/java/smpl/ordering/TestPath.java
11,Quote.java,src/Backend/IntegrationService/src/main/java/integration/models/mrp/Quote.java
11,ProductMessage.java,src/Backend/IntegrationService/src/main/java/integration/models/website/ProductMessage.java
12,DealersRepositoryTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/repositories/DealersRepositoryTest.java
12,QueueFactory.java,src/Backend/IntegrationService/src/main/java/integration/services/QueueFactory.java
13,QuoteControllerTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/controllers/QuoteControllerTest.java
13,ConfigurationHelpers.java,src/Backend/IntegrationService/src/main/java/integration/infrastructure/ConfigurationHelpers.java
13,PhoneInfo.java,src/Backend/OrderService/src/main/java/smpl/ordering/models/PhoneInfo.java
13,ShipmentRepositoryTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/repositories/ShipmentRepositoryTest.java
14,MongoQuoteRepositoryTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/repositories/mongodb/test/MongoQuoteRepositoryTest.java
14,UtilityTest.java,src/Backend/OrderService/src/test/java/smpl/ordering/UtilityTest.java
14,Constants.java,src/Backend/IntegrationService/src/main/java/integration/Constants.java
14,QuoteController.java,src/Backend/OrderService/src/main/java/smpl/ordering/controllers/QuoteController.java
14,ShipmentController.java,src/Backend/OrderService/src/main/java/smpl/ordering/controllers/ShipmentController.java
15,OrderStatus.java,src/Backend/OrderService/src/main/java/smpl/ordering/models/OrderStatus.java
15,Main.java,src/Backend/IntegrationService/src/main/java/integration/Main.java
15,Delivery.java,src/Backend/OrderService/src/main/java/smpl/ordering/models/Delivery.java
