Application,Tool,Partition Count,Variant,Granularity,Database Entropy,Use Case Entropy,M2M Use Case Entropy,Sarah BCP
spring-petclinic,cargo,n,default,method_level,100.0,100.0,0.0,0.0
demo,datacentric,n,default,method_level,35.20044759411307,58.328175231420666,66.1370563888011,77.21878403090517
demo,datacentric,n,default,class_level,43.906682037456726,51.389236578592815,66.1370563888011,77.21878403090517
jpetstore,datacentric,n,default,method_level,90.46909675478125,53.83210122166402,33.333333333333336,49.80820457505749
jpetstore,datacentric,n,default,class_level,79.719744537125,30.430820761296083,33.333333333333336,49.80820457505749
partsunlimited,datacentric,n,default,method_level,85.11469291531881,20.397704354528113,0.0,1.5165084848775767
partsunlimited,datacentric,n,default,class_level,75.29306376743871,8.034608228294859,0.0,1.5165084848775767
spring-petclinic,datacentric,n,default,method_level,84.68424973287647,39.46715980251893,10.228427314668487,12.971189931503558
spring-petclinic,datacentric,n,default,class_level,77.0904868230494,30.86760347906008,10.228427314668487,12.971189931503558
demo,ground_truth,n,default,method_level,37.540546445462866,77.92196796146094,7.671320486001365,53.28903408883785
demo,ground_truth,n,default,class_level,57.56486946571393,93.87674933013412,7.671320486001365,53.28903408883785
jpetstore,ground_truth,n,default,method_level,96.24532325944746,59.79359831222559,43.56176064800182,50.45627508749595
jpetstore,ground_truth,n,default,class_level,85.02402927291509,45.44952772350624,43.56176064800182,50.45627508749595
partsunlimited,ground_truth,n,default,method_level,81.75580996063535,24.157621175762145,21.780880324000908,29.70692507510755
partsunlimited,ground_truth,n,default,class_level,57.50659421524767,12.683675811981132,21.780880324000908,29.70692507510755
spring-petclinic,ground_truth,n,default,method_level,73.01936141696484,65.28497767833416,32.67132048600136,48.90689976371235
spring-petclinic,ground_truth,n,default,class_level,70.65389812495933,65.37109829674742,32.67132048600136,48.90689976371235
demo,hydec,n,default,method_level,0.0,38.219583271533565,55.11421365733425,68.75819649114565
demo,hydec,n,default,class_level,8.403128283618145,37.15783117276407,55.11421365733425,68.75819649114565
jpetstore,hydec,n,default,method_level,63.29177730017166,19.243030406466964,46.97123641955798,51.46291536168359
jpetstore,hydec,n,default,class_level,59.087145792629684,10.228427314668487,46.97123641955798,51.46291536168359
partsunlimited,hydec,n,default,method_level,86.19628647962392,73.13830971550023,0.0,10.823476726117953
partsunlimited,hydec,n,default,class_level,87.26971663410374,37.037911970442636,0.0,10.823476726117953
spring-petclinic,hydec,n,default,method_level,51.07990611102365,42.758305883621205,32.67132048600136,36.33524995655267
spring-petclinic,hydec,n,default,class_level,47.240754563429356,40.414857434529985,32.67132048600136,36.33524995655267
jpetstore,log2ms,n,default,method_level,96.24532325944746,56.759029626804306,43.56176064800182,48.871106165897
jpetstore,log2ms,n,default,class_level,85.02402927291509,43.56176064800182,43.56176064800182,48.871106165897
spring-petclinic,log2ms,n,default,method_level,66.27043782406655,3.7828610568395704,6.137056388801088,9.768226711527372
spring-petclinic,log2ms,n,default,class_level,57.14285714285714,3.3109192879634763,6.137056388801088,9.768226711527372
demo,mosaic,n,default,method_level,43.720535423015924,100.0,80.0,80.0
jpetstore,mosaic,n,default,method_level,96.24532325944746,58.754073388677355,32.67132048600136,40.19212096077622
partsunlimited,mosaic,n,default,method_level,78.05766197727984,49.07005344780069,21.780880324000908,29.30664511388542
spring-petclinic,mosaic,n,default,method_level,100.0,100.0,43.56176064800182,59.79359831222559
demo,tomicroservices,2,functionality,method_level,87.48993941154531,87.71681378873694,66.66666666666667,66.66666666666667
demo,tomicroservices,3,functionality,method_level,49.5876266923945,83.73101115583803,57.67132048600136,63.73596977834238
demo,tomicroservices,4,functionality,method_level,44.39075563828768,68.39306548761722,66.1370563888011,72.46459677487127
demo,tomicroservices,5,functionality,method_level,25.50298564874258,56.34702354726006,66.1370563888011,71.79767363423181
demo,tomicroservices,6,functionality,method_level,0.0,8.161040001153008,51.62436626971585,53.6088789950042
demo,tomicroservices,7,functionality,method_level,0.0,5.092208995654679,36.506980729002045,42.574058185471095
demo,tomicroservices,8,functionality,method_level,0.0,10.043260285368572,39.269601080003035,48.142293351456765
demo,tomicroservices,9,functionality,method_level,0.0,14.747092042789777,29.205584583201638,38.67595528623939
demo,tomicroservices,10,functionality,method_level,0.0,0.0,32.12967361091157,44.50165610630987
jpetstore,tomicroservices,3,functionality,method_level,59.737262459570715,95.0904559338328,57.67132048600136,61.189404571933494
jpetstore,tomicroservices,5,functionality,method_level,44.147390316187476,82.58505947438307,66.66666666666667,68.57549094090409
partsunlimited,tomicroservices,5,functionality,method_level,2.750262778935275,79.22870160634575,80.0,80.0
spring-petclinic,tomicroservices,3,functionality,method_level,68.08180915532402,55.51611038488947,33.333333333333336,33.502545580940826
spring-petclinic,tomicroservices,5,functionality,method_level,39.84025405298161,13.22749680206834,5.114213657334243,16.872685580463255
demo,mono2micro,2,natural,method_level,85.94162138452978,82.02333085362686,43.56176064800182,52.899093323746314
demo,mono2micro,2,natural,class_level,84.08714579262968,75.30913841721673,43.56176064800182,52.899093323746314
demo,mono2micro,3,natural,method_level,85.94162138452978,82.02333085362686,75.0,78.73269860827993
demo,mono2micro,3,natural,class_level,84.08714579262968,75.30913841721673,75.0,78.73269860827993
demo,mono2micro,4,natural,method_level,85.94162138452978,65.7266601732747,80.0,82.98615888662395
demo,mono2micro,4,natural,class_level,84.08714579262968,60.37052362689393,80.0,82.98615888662395
demo,mono2micro,5,natural,method_level,85.94162138452978,61.646015832821256,83.33333333333334,85.82179907218664
demo,mono2micro,5,natural,class_level,84.08714579262968,59.728392448627666,83.33333333333334,85.82179907218664
demo,mono2micro,6,natural,method_level,29.27065957519237,22.77677148522398,71.42857142857143,79.6818352053686
demo,mono2micro,6,natural,class_level,39.42468320566195,23.43156079607509,71.42857142857143,79.6818352053686
demo,mono2micro,7,natural,method_level,29.27065957519237,22.77677148522398,71.42857142857143,79.6818352053686
demo,mono2micro,7,natural,class_level,39.42468320566195,23.43156079607509,71.42857142857143,79.6818352053686
demo,mono2micro,8,natural,method_level,29.27065957519237,22.77677148522398,71.42857142857143,79.6818352053686
demo,mono2micro,8,natural,class_level,39.42468320566195,23.43156079607509,71.42857142857143,79.6818352053686
demo,mono2micro,9,natural,method_level,29.27065957519237,22.77677148522398,71.42857142857143,79.6818352053686
demo,mono2micro,9,natural,class_level,39.42468320566195,23.43156079607509,71.42857142857143,79.6818352053686
jpetstore,mono2micro,3,natural,method_level,100.0,100.0,0.0,14.756686424031129
jpetstore,mono2micro,3,natural,class_level,100.0,100.0,0.0,14.756686424031129
jpetstore,mono2micro,5,natural,method_level,100.0,96.91473915666388,50.0,57.08663934607105
jpetstore,mono2micro,5,natural,class_level,100.0,92.54273079780553,50.0,57.08663934607105
partsunlimited,mono2micro,5,natural,method_level,33.89542014258371,29.548033718612775,25.0,27.26936635132098
partsunlimited,mono2micro,5,natural,class_level,32.950602434610765,20.921114016864216,25.0,27.26936635132098
spring-petclinic,mono2micro,3,natural,method_level,66.57925706219007,34.74387711053375,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,3,natural,class_level,64.93811945582321,28.547439616787585,33.333333333333336,33.333333333333336
spring-petclinic,mono2micro,5,natural,method_level,56.427448702971425,17.77501491579665,32.67132048600136,34.728392448627666
spring-petclinic,mono2micro,5,natural,class_level,48.04979759578839,9.56842176823709,32.67132048600136,34.728392448627666
demo,tomicroservices,2,overhead,method_level,77.08590119981902,92.96083335381302,43.56176064800182,45.44952772350624
demo,tomicroservices,3,overhead,method_level,39.52497969970855,78.13156182584302,57.67132048600136,63.73596977834238
demo,tomicroservices,4,overhead,method_level,30.609946057588257,71.41335628019677,52.27411277760219,58.60165316367236
demo,tomicroservices,5,overhead,method_level,7.1782297501516545,44.382706123045736,52.27411277760219,52.88160456580544
demo,tomicroservices,6,overhead,method_level,0.0,1.1075027221866485,8.767223412572989,19.823110590862758
demo,tomicroservices,7,overhead,method_level,0.0,1.1075027221866485,28.83566024300068,32.703888550913206
demo,tomicroservices,8,overhead,method_level,0.0,3.531477174842834,24.74901419733576,38.27840699094941
demo,tomicroservices,9,overhead,method_level,0.0,0.0,19.20558458320164,31.05816275330966
demo,tomicroservices,10,overhead,method_level,0.0,1.1075027221866485,37.70881578254893,46.81205729801646
jpetstore,tomicroservices,3,overhead,method_level,79.87794160956246,93.29354707010438,57.67132048600136,61.07755188016569
jpetstore,tomicroservices,5,overhead,method_level,44.147390316187476,82.58505947438307,66.66666666666667,68.57549094090409
partsunlimited,tomicroservices,5,overhead,method_level,12.293377865508326,81.91685312012275,46.13705638880109,48.75329710762383
spring-petclinic,tomicroservices,3,overhead,method_level,68.50925919570165,49.169835315389754,10.228427314668487,23.973904516533917
spring-petclinic,tomicroservices,5,overhead,method_level,29.996342124735186,11.94570398749384,16.666666666666664,16.666666666666664
