Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
demo,tomicroservices,7_partitions,cohesion,X,X,X,25.448719453528707,method_level,-1,X,47.61904761904761,15.418265598295905,13.513513513513514
demo,tomicroservices,8_partitions,cohesion,X,X,X,36.30783800541945,method_level,-1,X,35.714285714285715,19.804204438685915,11.71875
demo,tomicroservices,9_partitions,cohesion,X,X,X,35.4494851823546,method_level,-1,X,36.11111111111111,17.698126829641332,10.295616717635067
demo,tomicroservices,10_partitions,cohesion,X,X,X,32.12147192152487,method_level,-1,X,31.11111111111111,16.410030746239126,9.196428571428571
jpetstore,tomicroservices,3_partitions,cohesion,X,X,X,60.02415458937197,method_level,-1,X,66.66666666666666,33.00877015460592,33.00329574892656
jpetstore,tomicroservices,5_partitions,cohesion,X,X,X,34.88888888888889,method_level,-1,X,30.0,19.607062687477956,19.625636312903904
partsunlimited,tomicroservices,5_partitions,cohesion,X,X,X,34.40582347588717,method_level,-1,X,70.0,19.39678941791765,19.443360824098153
spring-petclinic,tomicroservices,3_partitions,cohesion,X,X,X,63.452157598499056,method_level,-1,X,33.33333333333333,34.72593082379379,32.880238904525164
spring-petclinic,tomicroservices,5_partitions,cohesion,X,X,X,35.84761904761905,method_level,-1,X,30.0,20.416138611965234,19.3155177774391
demo,tomicroservices,2_partitions,coupling,X,X,X,61.556603773584904,method_level,-1,X,100.0,50.36951629250026,49.56521739130435
demo,tomicroservices,3_partitions,coupling,X,X,X,51.45683844313981,method_level,-1,X,66.66666666666666,34.22954877534674,32.748538011695906
demo,tomicroservices,4_partitions,coupling,X,X,X,46.321040505176924,method_level,-1,X,50.0,29.102380403649093,24.347826086956523
demo,tomicroservices,5_partitions,coupling,X,X,X,46.65355953702235,method_level,-1,X,30.0,31.610392694854074,19.310344827586206
demo,tomicroservices,6_partitions,coupling,X,X,X,36.47332132480648,method_level,-1,X,46.666666666666664,24.24178875077829,15.92261904761905
demo,tomicroservices,7_partitions,coupling,X,X,X,36.356004491678114,method_level,-1,X,61.904761904761905,16.781056953360718,13.513513513513512
demo,tomicroservices,8_partitions,coupling,X,X,X,37.50067334626158,method_level,-1,X,32.142857142857146,19.947573541084612,11.718750000000002
demo,tomicroservices,9_partitions,coupling,X,X,X,43.79517626829455,method_level,-1,X,36.11111111111111,18.161787545278575,10.295616717635067
demo,tomicroservices,10_partitions,coupling,X,X,X,33.54843609411052,method_level,-1,X,31.11111111111111,16.218820763037392,9.196428571428571
jpetstore,tomicroservices,3_partitions,coupling,X,X,X,34.64285714285714,method_level,-1,X,33.33333333333333,32.978149103870855,33.023675938286154
jpetstore,tomicroservices,5_partitions,coupling,X,X,X,28.724137931034488,method_level,-1,X,30.0,19.58693188791846,19.618075485900416
partsunlimited,tomicroservices,5_partitions,coupling,X,X,X,35.37310037310037,method_level,-1,X,50.0,19.178001637195425,19.412754720491
spring-petclinic,tomicroservices,3_partitions,coupling,X,X,X,66.66666666666666,method_level,-1,X,33.33333333333333,33.42607830868525,32.62418652478481
spring-petclinic,tomicroservices,5_partitions,coupling,X,X,X,35.84761904761905,method_level,-1,X,30.0,20.416138611965234,19.3155177774391
demo,cargo,4_partitions,default,X,X,X,40.55237525632263,method_level,-1,X,50.0,31.539606249507397,24.29245283018868
demo,cargo,5_partitions,default,X,X,X,32.88461538461539,method_level,-1,X,40.0,24.57286870754707,19.245283018867926
demo,cargo,n_partitions,default,X,X,X,22.219304388422035,method_level,-1,X,3.3333333333333335,11.55676446247781,5.424528301886792
jpetstore,cargo,3_partitions,default,X,X,X,52.14646464646465,method_level,-1,X,33.33333333333333,32.36889289119691,32.37737806620629
jpetstore,cargo,5_partitions,default,X,X,X,34.82142857142857,method_level,-1,X,33.33333333333333,23.886796659723338,23.9359252453485
jpetstore,cargo,n_partitions,default,X,X,X,54.69244149272612,method_level,-1,X,6.666666666666667,15.513663130077068,15.526012219431815
partsunlimited,cargo,5_partitions,default,X,X,X,35.10833635423799,method_level,-1,X,40.0,19.468833434135828,19.578237668900094
partsunlimited,cargo,n_partitions,default,X,X,X,35.10833635423799,method_level,-1,X,40.0,19.468833434135828,19.578237668900094
spring-petclinic,cargo,3_partitions,default,X,X,X,0.0,method_level,-1,X,0.0,0.0,0.0
spring-petclinic,cargo,n_partitions,default,X,X,X,0.0,method_level,-1,X,0.0,0.0,0.0
demo,datacentric,n_partitions,default,X,X,X,63.43652949198382,method_level,-1,X,50.0,38.90158994425823,24.639423076923077
demo,datacentric,n_partitions,default,X,X,X,37.98825096236294,class_level,-1,X,66.66666666666666,38.90158994425823,24.639423076923077
jpetstore,datacentric,n_partitions,default,X,X,X,79.74038395846144,method_level,-1,X,33.33333333333333,33.074521529125164,33.08274685119709
jpetstore,datacentric,n_partitions,default,X,X,X,70.81185888525337,class_level,-1,X,33.33333333333333,33.074521529125164,33.08274685119709
partsunlimited,datacentric,n_partitions,default,X,X,X,77.79128644298329,method_level,-1,X,66.66666666666666,25.027932383703334,25.040825184804
partsunlimited,datacentric,n_partitions,default,X,X,X,71.71248553088499,class_level,-1,X,66.66666666666666,25.027932383703334,25.040825184804
spring-petclinic,datacentric,n_partitions,default,X,X,X,67.77777777777777,method_level,-1,X,33.33333333333333,36.11821523400698,33.45724889893978
spring-petclinic,datacentric,n_partitions,default,X,X,X,64.1912320483749,class_level,-1,X,33.33333333333333,36.11821523400698,33.45724889893978
demo,ground_truth,n_partitions,default,X,X,X,96.51439472457683,method_level,-1,X,0.0,47.13354820421579,24.571428571428573
demo,ground_truth,n_partitions,default,X,X,X,100.0,class_level,-1,X,0.0,44.6030743249047,24.436090225563913
jpetstore,ground_truth,n_partitions,default,X,X,X,77.54123489159183,method_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
jpetstore,ground_truth,n_partitions,default,X,X,X,71.43884956384956,class_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
partsunlimited,ground_truth,n_partitions,default,X,X,X,89.7326761347814,method_level,-1,X,10.0,20.051941791478765,20.115518231379603
partsunlimited,ground_truth,n_partitions,default,X,X,X,90.20001860222855,class_level,-1,X,0.0,20.10823616747011,20.19139877623016
spring-petclinic,ground_truth,n_partitions,default,X,X,X,79.76068376068376,method_level,-1,X,33.33333333333333,36.84645360286915,34.01079301857426
spring-petclinic,ground_truth,n_partitions,default,X,X,X,85.38737248414668,class_level,-1,X,0.0,38.05680768006188,34.415372436205764
