,className1,className2,ClassNameRel
64,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.mongodb.models.QuoteDetails,1.0
65,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.models.QuoteItemInfo,1.0
66,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.models.Quote,1.0
67,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.controllers.QuoteController,1.0
68,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.repositories.mongodb.models.CatalogItem,1.0
69,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.models.CatalogItem,1.0
70,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.controllers.CatalogController,1.0
71,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.repositories.mongodb.models.ShipmentDetails,1.0
72,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.models.ShipmentRecord,1.0
73,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.models.ShipmentEventInfo,1.0
74,smpl.ordering.repositories.mongodb.MongoShipmentRepository,smpl.ordering.controllers.ShipmentController,1.0
75,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.mongodb.models.OrderDetails,1.0
76,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.Order,1.0
77,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.OrderStatus,1.0
78,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.OrderUpdateInfo,1.0
79,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.OrderEventInfo,1.0
80,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.controllers.OrderController,1.0
81,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.repositories.mongodb.models.Dealer,1.0
82,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.models.DealerInfo,1.0
83,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.controllers.DealerController,1.0
84,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.models.QuoteItemInfo,1.0
85,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.models.Quote,1.0
86,smpl.ordering.repositories.mongodb.models.QuoteDetails,smpl.ordering.controllers.QuoteController,1.0
87,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.models.Order,1.0
88,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.models.OrderStatus,1.0
89,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.models.OrderUpdateInfo,1.0
90,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.models.OrderEventInfo,1.0
91,smpl.ordering.repositories.mongodb.models.OrderDetails,smpl.ordering.controllers.OrderController,1.0
92,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.models.ShipmentRecord,1.0
93,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.models.ShipmentEventInfo,1.0
94,smpl.ordering.repositories.mongodb.models.ShipmentDetails,smpl.ordering.controllers.ShipmentController,1.0
95,smpl.ordering.repositories.mongodb.models.Dealer,smpl.ordering.models.DealerInfo,1.0
96,smpl.ordering.repositories.mongodb.models.Dealer,smpl.ordering.controllers.DealerController,1.0
97,smpl.ordering.repositories.mongodb.models.CatalogItem,smpl.ordering.models.CatalogItem,1.0
98,smpl.ordering.repositories.mongodb.models.CatalogItem,smpl.ordering.controllers.CatalogController,1.0
99,smpl.ordering.models.DeliveryAddress,smpl.ordering.models.Delivery,0.5
100,smpl.ordering.models.Order,smpl.ordering.models.OrderStatus,1.0
101,smpl.ordering.models.Order,smpl.ordering.models.OrderUpdateInfo,1.0
102,smpl.ordering.models.Order,smpl.ordering.models.OrderEventInfo,1.0
103,smpl.ordering.models.Order,smpl.ordering.controllers.OrderController,1.0
104,smpl.ordering.models.DealerInfo,smpl.ordering.controllers.DealerController,1.0
105,smpl.ordering.models.OrderStatus,smpl.ordering.models.OrderUpdateInfo,1.0
106,smpl.ordering.models.OrderStatus,smpl.ordering.models.OrderEventInfo,1.0
107,smpl.ordering.models.OrderStatus,smpl.ordering.controllers.OrderController,1.0
108,smpl.ordering.models.QuoteItemInfo,smpl.ordering.models.Quote,1.0
109,smpl.ordering.models.QuoteItemInfo,smpl.ordering.controllers.QuoteController,1.0
110,smpl.ordering.models.ShipmentRecord,smpl.ordering.models.ShipmentEventInfo,1.0
111,smpl.ordering.models.ShipmentRecord,smpl.ordering.controllers.ShipmentController,1.0
112,smpl.ordering.models.Quote,smpl.ordering.controllers.QuoteController,1.0
113,smpl.ordering.models.ShipmentEventInfo,smpl.ordering.controllers.ShipmentController,1.0
114,smpl.ordering.models.OrderUpdateInfo,smpl.ordering.models.OrderEventInfo,1.0
115,smpl.ordering.models.OrderUpdateInfo,smpl.ordering.controllers.OrderController,1.0
116,smpl.ordering.models.OrderEventInfo,smpl.ordering.controllers.OrderController,1.0
117,smpl.ordering.models.CatalogItem,smpl.ordering.controllers.CatalogController,1.0
