,ClassA,ClassB,ReferenceCount
0,smpl.ordering.repositories.mock.MockOrderRepository,smpl.ordering.models.Quote,1
0,smpl.ordering.repositories.mock.MockOrderRepository,smpl.ordering.models.OrderUpdateInfo,2
0,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.BadRequestException,1
0,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.models.DealerInfo,2
0,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.models.Quote,9
0,smpl.ordering.repositories.mock.MockQuoteRepository,smpl.ordering.repositories.DealersRepository,4
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.models.ShipmentEventInfo,3
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.models.ShipmentRecord,10
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.BadRequestException,1
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.repositories.OrderRepository,2
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.models.Order,1
0,smpl.ordering.repositories.mock.MockShipmentRepository,smpl.ordering.models.OrderStatus,1
0,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,1
0,smpl.ordering.repositories.mongodb.MongoCatalogItemsRepository,smpl.ordering.repositories.mongodb.models.CatalogItem,5
0,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,1
0,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.repositories.mongodb.models.Dealer,5
0,smpl.ordering.repositories.mongodb.MongoDealersRepository,smpl.ordering.models.DealerInfo,1
0,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,smpl.ordering.Utility,1
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,1
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.BadRequestException,1
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.ConflictingRequestException,1
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.Order,9
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.OrderStatus,3
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.QuoteRepository,2
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.repositories.mongodb.models.OrderDetails,9
0,smpl.ordering.repositories.mongodb.MongoOrderRepository,smpl.ordering.models.OrderUpdateInfo,2
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.mongodb.MongoOperationsWithRetry,1
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.BadRequestException,1
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.models.DealerInfo,2
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.models.Quote,6
0,smpl.ordering.repositories.mongodb.MongoQuoteRepository,smpl.ordering.repositories.DealersRepository,4
