Application,Tool,Partition Count,Decomposition Type,Granularity,Mojo-D,Mojo,C2C 50,C2C 33,C2C 10
jpetstore,log2ms,n_partitions,default,method,X,99.34,100.0,100.0,100.0
spring-petclinic,log2ms,n_partitions,default,class,X,52.63,0.0,37.5,100.0
spring-petclinic,log2ms,n_partitions,default,method,X,76.85,12.5,50.0,100.0
demo,mosaic,n_partitions,default,method,X,64.47,0.0,80.0,80.0
jpetstore,mosaic,n_partitions,default,method,X,89.47,75.0,75.0,100.0
partsunlimited,mosaic,n_partitions,default,method,X,86.21,100.0,100.0,100.0
spring-petclinic,mosaic,n_partitions,default,method,X,69.44,100.0,100.0,100.0
demo,tomicroservices,4_partitions,functionality,method,X,36.18,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,functionality,method,X,51.32,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,functionality,method,X,29.31,0.0,0.0,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,functionality,method,X,56.48,25.0,50.0,100.0
demo,mono2micro,4_partitions,natural,class,X,51.16,20.0,40.0,100.0
demo,mono2micro,4_partitions,natural,method,X,57.89,20.0,40.0,100.0
jpetstore,mono2micro,3_partitions,natural,class,X,33.33,0.0,50.0,100.0
jpetstore,mono2micro,3_partitions,natural,method,X,42.11,0.0,50.0,100.0
partsunlimited,mono2micro,5_partitions,natural,class,X,25.0,0.0,50.0,100.0
partsunlimited,mono2micro,5_partitions,natural,method,X,35.22,0.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,natural,class,X,36.84,25.0,75.0,100.0
spring-petclinic,mono2micro,3_partitions,natural,method,X,56.48,25.0,75.0,100.0
demo,tomicroservices,4_partitions,overhead,method,X,35.2,0.0,40.0,40.0
jpetstore,tomicroservices,3_partitions,overhead,method,X,50.99,0.0,50.0,50.0
partsunlimited,tomicroservices,5_partitions,overhead,method,X,28.57,0.0,0.0,33.33333333333333
spring-petclinic,tomicroservices,3_partitions,overhead,method,X,55.56,25.0,50.0,75.0
