Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors
jpetstore,ground_truth,n_partitions,default,X,X,X,77.54123489159183,method_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
jpetstore,ground_truth,n_partitions,default,X,X,X,71.43884956384956,class_level,-1,X,33.33333333333333,33.11756806293985,33.09948717263762
partsunlimited,ground_truth,n_partitions,default,X,X,X,89.7326761347814,method_level,-1,X,10.0,20.051941791478765,20.115518231379603
partsunlimited,ground_truth,n_partitions,default,X,X,X,90.20001860222855,class_level,-1,X,0.0,20.10823616747011,20.19139877623016
spring-petclinic,ground_truth,n_partitions,default,X,X,X,79.76068376068376,method_level,-1,X,33.33333333333333,36.84645360286915,34.01079301857426
spring-petclinic,ground_truth,n_partitions,default,X,X,X,85.38737248414668,class_level,-1,X,0.0,38.05680768006188,34.415372436205764
demo,hydec,n_partitions,default,X,X,X,59.84242261484861,method_level,-1,X,0.0,34.8394315519625,12.039473684210526
demo,hydec,n_partitions,default,X,X,X,47.131422363111945,class_level,-1,X,3.571428571428571,34.8394315519625,12.039473684210526
jpetstore,hydec,n_partitions,default,X,X,X,52.83249771100154,method_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
jpetstore,hydec,n_partitions,default,X,X,X,32.00916467045499,class_level,-1,X,3.571428571428571,12.099436665507007,12.115700526384352
partsunlimited,hydec,n_partitions,default,X,X,X,91.96516974109338,method_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
partsunlimited,hydec,n_partitions,default,X,X,X,89.43515165659593,class_level,-1,X,66.66666666666666,33.23221075080915,33.232509463357566
spring-petclinic,hydec,n_partitions,default,X,X,X,49.30555555555555,method_level,-1,X,0.0,43.18968485214681,35.96557582998146
spring-petclinic,hydec,n_partitions,default,X,X,X,42.34848484848485,class_level,-1,X,0.0,43.18968485214681,35.96557582998146
jpetstore,log2ms,n_partitions,default,X,X,X,76.0443178220956,method_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
jpetstore,log2ms,n_partitions,default,X,X,X,69.86965545869656,class_level,-1,X,33.33333333333333,33.1206497248518,33.102951463230355
spring-petclinic,log2ms,n_partitions,default,X,X,X,39.38525242873069,method_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
spring-petclinic,log2ms,n_partitions,default,X,X,X,29.190179190179187,class_level,-1,X,14.285714285714285,16.879902618203833,14.057227973714454
demo,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,45.67511278378107,24.456521739130434
jpetstore,mosaic,n_partitions,default,X,X,X,80.32436162870947,method_level,-1,X,0.0,33.06288437532552,33.06915068310831
partsunlimited,mosaic,n_partitions,default,X,X,X,90.76263961561352,method_level,-1,X,10.0,20.120709427450358,20.194009554584042
spring-petclinic,mosaic,n_partitions,default,X,X,X,100.0,method_level,-1,X,0.0,53.66093823768738,50.79991932236232
demo,tomicroservices,4_partitions,functionality,X,X,X,34.99870525021039,method_level,-1,X,50.0,27.57602999685897,24.34782608695652
jpetstore,tomicroservices,3_partitions,functionality,X,X,X,34.64285714285714,method_level,-1,X,33.33333333333333,32.978149103870855,33.023675938286154
partsunlimited,tomicroservices,5_partitions,functionality,X,X,X,29.51158940397351,method_level,-1,X,40.0,19.207378198266806,19.40730158303484
spring-petclinic,tomicroservices,3_partitions,functionality,X,X,X,60.317460317460316,method_level,-1,X,0.0,33.90472315112723,32.72672727762202
demo,mono2micro,4_partitions,natural,X,X,X,91.66947158074335,method_level,-1,X,0.0,48.411738802859006,24.576271186440678
demo,mono2micro,4_partitions,natural,X,X,X,80.25064350064349,class_level,-1,X,0.0,48.411738802859006,24.576271186440678
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,method_level,-1,X,0.0,100.0,100.0
jpetstore,mono2micro,3_partitions,natural,X,X,X,100.0,class_level,-1,X,0.0,100.0,100.0
partsunlimited,mono2micro,5_partitions,natural,X,X,X,68.9241979231868,method_level,-1,X,100.0,33.25120496515229,33.26674875666117
partsunlimited,mono2micro,5_partitions,natural,X,X,X,51.00890451346126,class_level,-1,X,100.0,33.25120496515229,33.26674875666117
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,82.9923273657289,method_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,77.77777777777777,class_level,-1,X,33.33333333333333,39.270629334393156,34.62791126540797
demo,tomicroservices,4_partitions,overhead,X,X,X,38.51650268648385,method_level,-1,X,50.0,27.429419818035853,24.347826086956523
jpetstore,tomicroservices,3_partitions,overhead,X,X,X,40.73260073260074,method_level,-1,X,66.66666666666666,32.97918350939672,33.02503874041934
partsunlimited,tomicroservices,5_partitions,overhead,X,X,X,35.32452981192476,method_level,-1,X,50.0,19.147314237509303,19.387094190280756
spring-petclinic,tomicroservices,3_partitions,overhead,X,X,X,57.125819916517585,method_level,-1,X,0.0,36.31541311359443,33.3601849893348
