Application,Tool,Partition Count,Variant,Granularity,NED,Completeness,Actual Partition Count,Min,Max,Mean,Stdev,Median
spring-petclinic,ground_truth,n,default,class_level,64.51612903225806,23 (95.8%),3,6,11,9.0,2.6457513110645907,10.0
demo,hydec,n,default,method_level,39.148936170212764,235 (79.7%),8,5,66,29.375,24.441986709056902,25.5
demo,hydec,n,default,class_level,70.0,40 (83.3%),8,3,12,5.0,3.1622776601683795,3.5
jpetstore,hydec,n,default,method_level,41.76245210727969,261 (86.4%),8,7,83,32.625,27.302210794837006,24.5
jpetstore,hydec,n,default,class_level,77.27272727272727,22 (91.7%),8,2,5,2.75,1.164964745021435,2.0
partsunlimited,hydec,n,default,method_level,8.684210526315795,380 (92.2%),3,28,319,126.66666666666667,166.58431298694765,33.0
partsunlimited,hydec,n,default,class_level,19.999999999999996,45 (86.5%),3,4,36,15.0,18.193405398660254,5.0
spring-petclinic,hydec,n,default,method_level,46.98795180722891,83 (74.1%),3,13,44,27.666666666666668,15.56705923844749,26.0
spring-petclinic,hydec,n,default,class_level,56.25,16 (66.7%),3,4,7,5.333333333333333,1.5275252316519468,5.0
jpetstore,log2ms,n,default,method_level,57.6158940397351,302 (100.0%),3,69,128,100.66666666666667,29.737742572921256,105.0
jpetstore,log2ms,n,default,class_level,100.0,24 (100.0%),3,4,10,8.0,3.4641016151377544,10.0
spring-petclinic,log2ms,n,default,method_level,27.722772277227726,101 (90.2%),7,2,35,14.428571428571429,13.636435786244915,10.0
spring-petclinic,log2ms,n,default,class_level,42.10526315789473,19 (79.2%),7,1,6,2.7142857142857144,2.0586634591635513,2.0
demo,mosaic,n,default,method_level,47.682119205298015,151 (51.2%),4,6,73,37.75,28.194266556636418,36.0
jpetstore,mosaic,n,default,method_level,56.94444444444444,288 (95.4%),3,57,124,96.0,34.828149534535996,107.0
partsunlimited,mosaic,n,default,method_level,100.0,297 (72.1%),5,36,78,59.4,19.844394674567425,69.0
spring-petclinic,mosaic,n,default,method_level,25.92592592592593,95 (84.8%),2,28,80,54.0,36.76955262170047,54.0
demo,tomicroservices,4,functionality,method_level,20.661157024793386,121 (41.0%),4,8,96,30.25,43.835868114288935,8.5
jpetstore,tomicroservices,3,functionality,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387328,8.0
partsunlimited,tomicroservices,5,functionality,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,functionality,method_level,26.470588235294112,68 (60.7%),3,9,50,22.666666666666668,23.671361036774655,9.0
demo,mono2micro,4,natural,method_level,23.684210526315784,190 (64.4%),4,12,133,47.5,57.25090974531904,22.5
demo,mono2micro,4,natural,class_level,36.66666666666667,30 (62.5%),4,3,19,7.5,7.681145747868608,4.0
jpetstore,mono2micro,3,natural,method_level,0.0,277 (91.7%),1,277,277,277.0,0.0,277.0
jpetstore,mono2micro,3,natural,class_level,0.0,17 (70.8%),1,17,17,17.0,0.0,17.0
partsunlimited,mono2micro,5,natural,method_level,53.87205387205387,297 (72.1%),3,65,137,99.0,36.16628264005025,95.0
partsunlimited,mono2micro,5,natural,class_level,100.0,31 (59.6%),3,8,13,10.333333333333334,2.516611478423583,10.0
spring-petclinic,mono2micro,3,natural,method_level,43.29896907216495,97 (86.6%),3,9,55,32.333333333333336,23.00724523564986,33.0
spring-petclinic,mono2micro,3,natural,class_level,100.0,17 (70.8%),3,3,7,5.666666666666667,2.309401076758503,7.0
demo,tomicroservices,4,overhead,method_level,14.876033057851235,121 (41.0%),4,7,96,30.25,43.84347157787577,9.0
jpetstore,tomicroservices,3,overhead,method_level,0.0,229 (75.8%),3,8,213,76.33333333333333,118.35680518387328,8.0
partsunlimited,tomicroservices,5,overhead,method_level,22.360248447204967,161 (39.1%),5,9,125,32.2,51.87677707799512,9.0
spring-petclinic,tomicroservices,3,overhead,method_level,26.470588235294112,68 (60.7%),3,9,50,22.666666666666668,23.671361036774655,9.0
