,MethodA,MethodB,ReferenceCount
0,smpl.ordering.controllers.CatalogController.getCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.getCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItem,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.getCatalogItems,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItems,1
0,smpl.ordering.controllers.CatalogController.getRepository,smpl.ordering.repositories.RepositoryFactory.getCatalogItemsRepository,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.removeCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.removeCatalogItem,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.controllers.CatalogController.getRepository,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.models.CatalogItem.validate,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.getCatalogItem,1
0,smpl.ordering.controllers.CatalogController.upsertCatalogItem,smpl.ordering.repositories.CatalogItemsRepository.upsertCatalogItem,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.models.DealerInfo.getName,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.models.DealerInfo.validate,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.repositories.DealersRepository.getDealer,1
0,smpl.ordering.controllers.DealerController.addDealer,smpl.ordering.repositories.DealersRepository.upsertDealer,1
0,smpl.ordering.controllers.DealerController.getDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.getDealer,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.getDealer,smpl.ordering.repositories.DealersRepository.getDealer,1
0,smpl.ordering.controllers.DealerController.getDealers,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.getDealers,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.getDealers,smpl.ordering.repositories.DealersRepository.getDealers,1
0,smpl.ordering.controllers.DealerController.getRepository,smpl.ordering.repositories.RepositoryFactory.getDealersRepository,1
0,smpl.ordering.controllers.DealerController.removeDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.removeDealer,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.removeDealer,smpl.ordering.repositories.DealersRepository.removeDealer,1
0,smpl.ordering.controllers.DealerController.updateDealer,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.DealerController.updateDealer,smpl.ordering.controllers.DealerController.getRepository,1
0,smpl.ordering.controllers.DealerController.updateDealer,smpl.ordering.models.DealerInfo.validate,1
0,smpl.ordering.controllers.DealerController.updateDealer,smpl.ordering.repositories.DealersRepository.getDealer,1
0,smpl.ordering.controllers.DealerController.updateDealer,smpl.ordering.repositories.DealersRepository.upsertDealer,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.models.Order.addEvent,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.models.Order.getOrderId,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.models.OrderEventInfo.setDate,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.repositories.OrderRepository.getOrder,1
0,smpl.ordering.controllers.OrderController.addEvent,smpl.ordering.repositories.OrderRepository.updateOrder,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.BadRequestException.getMessage,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.ConflictingRequestException.getMessage,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.controllers.OrderController.getQuotes,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.models.Order.getOrderId,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.repositories.OrderRepository.createOrder,1
0,smpl.ordering.controllers.OrderController.createOrder,smpl.ordering.repositories.QuoteRepository.getQuote,1
0,smpl.ordering.controllers.OrderController.deleteOrder,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.deleteOrder,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.deleteOrder,smpl.ordering.repositories.OrderRepository.removeOrder,1
0,smpl.ordering.controllers.OrderController.getOrderById,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.getOrderById,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.getOrderById,smpl.ordering.repositories.OrderRepository.getOrder,1
0,smpl.ordering.controllers.OrderController.getOrders,smpl.ordering.repositories.RepositoryFactory.getOrderRepository,1
0,smpl.ordering.controllers.OrderController.getOrdersByDealerName,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.getOrdersByDealerName,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.getOrdersByDealerName,smpl.ordering.repositories.OrderRepository.getOrdersByDealerName,1
0,smpl.ordering.controllers.OrderController.getOrdersByDealerName,smpl.ordering.repositories.OrderRepository.getOrdersByStatus,1
0,smpl.ordering.controllers.OrderController.getQuotes,smpl.ordering.repositories.RepositoryFactory.getQuoteRepository,1
0,smpl.ordering.controllers.OrderController.updateOrder,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.updateOrder,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.updateOrder,smpl.ordering.models.Order.validate,1
0,smpl.ordering.controllers.OrderController.updateOrder,smpl.ordering.repositories.OrderRepository.updateOrder,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.BadRequestException.getMessage,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.controllers.OrderController.getOrders,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.models.OrderEventInfo.setDate,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.models.OrderUpdateInfo.getEventInfo,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.repositories.OrderRepository.hasOrder,1
0,smpl.ordering.controllers.OrderController.updateStatus,smpl.ordering.repositories.OrderRepository.updateOrder,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.OrderingServiceProperties.getPingMessage,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.OrderingServiceProperties.getValidationMessage,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.PropertyHelper.getPropValues,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.controllers.PingController.orderingServiceProperties,1
0,smpl.ordering.controllers.PingController.getStatus,smpl.ordering.controllers.PingController.props,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.BadRequestException.getMessage,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.OrderingInitializer.getApplicationPath,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.controllers.QuoteController.getRepository,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.models.Quote.getQuoteId,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.models.Quote.validate,1
0,smpl.ordering.controllers.QuoteController.createQuote,smpl.ordering.repositories.QuoteRepository.createQuote,1
0,smpl.ordering.controllers.QuoteController.deleteQuote,smpl.ordering.Utility.getTelemetryClient,1
0,smpl.ordering.controllers.QuoteController.deleteQuote,smpl.ordering.controllers.QuoteController.getRepository,1
0,smpl.ordering.controllers.QuoteController.deleteQuote,smpl.ordering.repositories.QuoteRepository.removeQuote,1
